Date,Price,Open,High,Low,Change %,Score 1,Score 2,Score 3,Score 4,Score 5,Average Score
2016-02-08,"1,853.44","1,873.25","1,873.25","1,828.46",-1.42%,0.2436568871714038,0.5032796054304164,0.219860680327452,0.2605379569837799,0.2354705852443178,0.2925611430314739
2016-02-09,"1,852.21","1,848.46","1,868.25","1,834.94",-0.07%,0.7175980068134438,0.5032796054304164,0.3643667056490567,0.1623531804545685,0.46402603345706,0.4423247063609091
2016-02-10,"1,851.86","1,857.10","1,881.60","1,850.32",-0.02%,0.1918950526262265,0.2699954238063761,0.330401179641023,0.0415416687852747,0.0445416179386789,0.1756749885595158
2016-02-11,"1,829.08","1,847.00","1,847.00","1,810.10",-1.23%,0.5032796054304164,0.0827274113998067,0.3527736818020033,0.1623531804545685,0.2436568871714038,0.2689581532516397
2016-02-12,"1,864.78","1,833.40","1,864.78","1,833.40",1.95%,0.1623531804545685,0.6537855290588295,0.5811257436314639,0.5692784868053083,0.0527787664615853,0.4038643412823511
2016-02-16,"1,895.58","1,871.44","1,895.77","1,871.44",1.65%,0.2436568871714038,0.806579549499161,0.46402603345706,0.4770427619870849,0.2608938831545228,0.4504398230538465
2016-02-17,"1,926.82","1,898.80","1,930.68","1,898.80",1.65%,0.2436568871714038,0.0647277164793816,0.5032796054304164,0.5032796054304164,0.2521482686734123,0.3134184166370061
2016-02-18,"1,917.83","1,927.57","1,930.00","1,915.09",-0.47%,0.5032796054304164,0.3882137590888289,0.2608938831545228,0.1918950526262265,0.1043880612193013,0.2897340723038591
2016-02-19,"1,917.78","1,916.74","1,918.78","1,902.17",0.00%,0.5032796054304164,0.5032796054304164,0.0850663548075456,0.2989271368281893,0.0583718920018304,0.2897849188996796
2016-02-22,"1,945.50","1,924.44","1,946.70","1,924.44",1.45%,0.3196217013270961,0.219860680327452,0.288961204047389,0.2608938831545228,0.1179132557075303,0.241450144912798
2016-02-23,"1,921.27","1,942.38","1,942.38","1,919.44",-1.25%,0.4510601515228555,0.5032796054304164,0.568363248080541,0.5032796054304164,0.4254334672293689,0.4902832155387197
2016-02-24,"1,929.80","1,917.56","1,932.08","1,891.00",0.44%,0.5032796054304164,0.7365637870544567,0.3882137590888289,0.5032796054304164,0.5554990593379773,0.5373671632684192
2016-02-25,"1,951.70","1,931.87","1,951.83","1,925.41",1.13%,0.3527736818020033,0.721106421925052,0.2436568871714038,0.2354705852443178,0.3527736818020033,0.381156251588956
2016-02-26,"1,948.05","1,954.95","1,962.96","1,945.78",-0.19%,0.5032796054304164,0.5032796054304164,0.5032796054304164,0.7365637870544567,0.5032796054304164,0.5499364417552244
2016-02-29,"1,932.23","1,947.13","1,958.27","1,931.81",-0.81%,0.2989271368281893,0.5032796054304164,0.7365637870544567,0.2275385162963339,0.1571159810850663,0.3846850053388925
2016-03-01,"1,978.35","1,937.09","1,978.35","1,937.09",2.39%,0.1309808308333757,0.5032796054304164,0.3527736818020033,0.3882137590888289,0.219860680327452,0.3190217114964152
2016-03-02,"1,986.45","1,976.60","1,986.51","1,968.80",0.41%,0.5032796054304164,0.3414857375298723,0.6061422687751055,0.9110693039101032,0.1855392281486754,0.5095032287588346
2016-03-03,"1,993.40","1,985.60","1,993.69","1,977.37",0.35%,0.4510601515228555,0.219860680327452,0.2793511974373315,0.127930035084151,0.2354705852443178,0.2627345299232215
2016-03-04,"1,999.99","1,994.01","2,009.13","1,986.77",0.33%,0.5032796054304164,0.3643667056490567,0.5032796054304164,0.1571159810850663,0.5032796054304164,0.4062643006050744
2016-03-07,"2,001.76","1,996.11","2,006.12","1,989.38",0.09%,0.4901611837087506,0.6183454517720038,0.5032796054304164,0.1269131031677429,0.5032796054304164,0.448395789901866
2016-03-08,"1,979.26","1,996.88","1,996.88","1,977.43",-1.12%,0.2053694005186352,0.219860680327452,0.3414857375298723,0.2793511974373315,0.5032796054304164,0.3098693242487415
2016-03-09,"1,989.26","1,981.44","1,992.69","1,979.84",0.51%,0.5032796054304164,0.2793511974373315,0.5032796054304164,0.1108964254843137,0.8494432297757665,0.4492500127116489
2016-03-10,"1,989.57","1,990.97","2,005.08","1,969.25",0.02%,0.1216250572024202,0.1424721614887882,0.5032796054304164,0.1855392281486754,0.1295062795545837,0.2164844663649767
2016-03-11,"2,022.19","1,994.71","2,022.37","1,994.71",1.64%,0.3527736818020033,0.5425331774037728,0.2053694005186352,0.7866985305333807,0.1424721614887882,0.405969390349316
2016-03-14,"2,019.64","2,019.27","2,024.57","2,012.05",-0.13%,0.330401179641023,0.5032796054304164,0.8011898103421975,0.895662785376519,0.5032796054304164,0.6067625972441145
2016-03-15,"2,015.93","2,015.27","2,015.94","2,005.23",-0.18%,0.6537855290588295,0.1520313215030253,0.2608938831545228,0.3527736818020033,0.219860680327452,0.3278690191691665
2016-03-16,"2,027.22","2,014.24","2,032.02","2,010.04",0.56%,0.5425331774037728,0.5032796054304164,0.7272080134235013,0.5032796054304164,0.74566532770631,0.6043931458788834
2016-03-17,"2,040.59","2,026.90","2,046.24","2,022.16",0.66%,0.5032796054304164,0.5032796054304164,0.5163980271520822,0.3882137590888289,0.3882137590888289,0.4598769512381145
2016-03-18,"2,049.58","2,041.16","2,052.36","2,041.16",0.44%,0.1855392281486754,0.5032796054304164,0.070117455636345,0.219860680327452,0.0782020643717902,0.2113998067829357
2016-03-21,"2,051.60","2,047.88","2,053.91","2,043.14",0.10%,0.0630497788173081,0.5032796054304164,0.5032796054304164,0.0502364366705648,0.5032796054304164,0.3246250063558243
2016-03-22,"2,049.80","2,048.64","2,056.60","2,040.57",-0.09%,0.0214064168403925,0.076066507347333,0.1623531804545685,0.1043880612193013,0.2793511974373315,0.1287130726597853
2016-03-23,"2,036.71","2,048.55","2,048.55","2,034.86",-0.64%,0.5032796054304164,0.1734885849392383,0.3643667056490567,0.0502364366705648,0.4381959627802918,0.3059134590939136
2016-03-24,"2,035.94","2,032.48","2,036.04","2,022.49",-0.04%,0.5032796054304164,0.1623531804545685,0.1918950526262265,0.5619565770071693,0.3882137590888289,0.3615396349214419
2016-03-28,"2,037.05","2,037.89","2,042.67","2,031.96",0.05%,0.2436568871714038,0.7790206945644989,0.3414857375298723,0.7710886256165149,0.7710886256165149,0.581268114099761
2016-03-29,"2,055.01","2,035.75","2,055.91","2,028.31",0.88%,0.5032796054304164,0.6421925052117761,0.3643667056490567,0.5032796054304164,0.2608938831545228,0.4548024609752376
2016-03-30,"2,063.95","2,058.27","2,072.21","2,058.27",0.44%,0.3414857375298723,0.330401179641023,0.2989271368281893,0.1108964254843137,0.5032796054304164,0.3169980169827629
2016-03-31,"2,059.74","2,063.77","2,067.92","2,057.46",-0.20%,0.0201352519448822,0.8080541007779529,0.3749936441755224,0.4381959627802918,0.5032796054304164,0.4289317130218132
2016-04-01,"2,072.78","2,056.62","2,075.07","2,043.98",0.63%,0.5032796054304164,0.5032796054304164,0.1336757004118574,0.697411908272741,0.2436568871714038,0.416260741343367
2016-04-04,"2,066.13","2,073.19","2,074.02","2,062.57",-0.32%,0.1794376366502262,0.3527736818020033,0.330401179641023,0.6346672090303553,0.5032796054304164,0.4001118625108049
2016-04-05,"2,045.17","2,062.50","2,062.50","2,042.56",-1.01%,0.5032796054304164,0.1623531804545685,0.5937356993949254,0.5032796054304164,0.330401179641023,0.4186098540702699
2016-04-06,"2,066.66","2,045.56","2,067.33","2,043.09",1.05%,0.3761631158793918,0.5032796054304164,0.5032796054304164,0.6597854273656378,0.330401179641023,0.474581786749377
2016-04-07,"2,041.91","2,063.01","2,063.01","2,033.80",-1.20%,0.7544109421874206,0.5032796054304164,0.5032796054304164,0.7076320740326435,0.6926323282656226,0.6322469110693039
2016-04-08,"2,047.60","2,045.54","2,060.63","2,041.69",0.28%,0.6537855290588295,0.5032796054304164,0.3527736818020033,0.568363248080541,0.5032796054304164,0.5162963339604413
2016-04-11,"2,041.99","2,050.23","2,062.93","2,041.88",-0.27%,0.6537855290588295,0.2608938831545228,0.3761631158793918,0.219860680327452,0.7790206945644989,0.457944780596939
2016-04-12,"2,061.72","2,043.72","2,065.05","2,039.74",0.97%,0.076066507347333,0.762902323689429,0.5032796054304164,0.1216250572024202,0.8011898103421975,0.4530126608023592
2016-04-13,"2,082.42","2,065.92","2,083.18","2,065.92",1.00%,0.5032796054304164,0.3196217013270961,0.1472008949000863,0.1794376366502262,0.5032796054304164,0.3305638887476482
2016-04-14,"2,082.78","2,082.89","2,087.84","2,078.13",0.02%,0.5032796054304164,0.6183454517720038,0.5032796054304164,0.219860680327452,0.5032796054304164,0.4696089896781409
2016-04-15,"2,080.73","2,083.10","2,083.22","2,076.31",-0.10%,0.2699954238063761,0.1520313215030253,0.4381959627802918,0.2989271368281893,0.5032796054304164,0.3324858900696598
2016-04-18,"2,094.34","2,078.83","2,094.66","2,073.65",0.65%,0.5032796054304164,0.0647277164793816,0.3631972339451873,0.2124879239334926,0.6183454517720038,0.3524075863120964
2016-04-19,"2,100.80","2,096.05","2,104.05","2,091.68",0.31%,0.7272080134235013,0.4770427619870849,0.1623531804545685,0.5032796054304164,0.1571159810850663,0.4053999084761274
2016-04-20,"2,102.40","2,101.52","2,111.05","2,096.32",0.08%,0.5032796054304164,0.7365637870544567,0.2436568871714038,0.6061422687751055,0.4770427619870849,0.5133370620836935
2016-04-21,"2,091.48","2,102.09","2,103.78","2,088.52",-0.52%,0.5032796054304164,0.5032796054304164,0.2989271368281893,0.4381959627802918,0.3629430009660852,0.4213250622870799
2016-04-22,"2,091.58","2,091.49","2,094.32","2,081.20",0.00%,0.2521482686734123,0.1472008949000863,0.4901611837087506,0.8593583159607464,0.895662785376519,0.528906289723903
2016-04-25,"2,087.79","2,089.37","2,089.37","2,077.52",-0.18%,0.0445416179386789,0.46402603345706,0.1216250572024202,0.5163980271520822,0.1623531804545685,0.261788783240962
2016-04-26,"2,091.70","2,089.84","2,096.87","2,085.80",0.19%,0.2608938831545228,0.1794376366502262,0.7544109421874206,0.5032796054304164,0.0583718920018304,0.3512787918848833
2016-04-27,"2,095.15","2,092.33","2,099.89","2,082.31",0.16%,0.330401179641023,0.1336757004118574,0.2436568871714038,0.5811257436314639,0.5032796054304164,0.3584278232572329
2016-04-28,"2,075.81","2,090.93","2,099.30","2,071.62",-0.92%,0.076066507347333,0.5032796054304164,0.1674378400366095,0.0682869781868103,0.3761631158793918,0.2382468093761121
2016-04-29,"2,065.30","2,071.82","2,073.85","2,052.28",-0.51%,0.2793511974373315,0.5032796054304164,0.5295164488737478,0.2053694005186352,0.5032796054304164,0.4041592515381095
2016-05-02,"2,081.43","2,067.17","2,083.42","2,066.11",0.78%,0.5032796054304164,0.5032796054304164,0.4901611837087506,0.2053694005186352,0.2521482686734123,0.3908476127523262
2016-05-03,"2,063.37","2,077.18","2,077.18","2,054.89",-0.87%,0.5032796054304164,0.3414857375298723,0.7365637870544567,0.3091473025880917,0.2314537041745055,0.4243860273554685
2016-05-04,"2,051.12","2,060.30","2,060.30","2,045.55",-0.59%,0.219860680327452,0.2275385162963339,0.1108964254843137,0.6421925052117761,0.0075252961814206,0.2416026847002592
2016-05-05,"2,050.63","2,052.95","2,060.23","2,045.77",-0.02%,0.6537855290588295,0.5032796054304164,0.0425077541058625,0.1985051100828799,0.2436568871714038,0.3283469771698784
2016-05-06,"2,057.14","2,047.77","2,057.72","2,039.45",0.32%,0.5032796054304164,0.3091473025880917,0.932526567346316,0.330401179641023,0.219860680327452,0.4590430670666598
2016-05-09,"2,058.69","2,057.55","2,064.15","2,054.31",0.08%,0.4381959627802918,0.5163980271520822,0.5032796054304164,0.5032796054304164,0.3882137590888289,0.4698733919764072
2016-05-10,"2,084.39","2,062.63","2,084.87","2,062.63",1.25%,0.2436568871714038,0.1985051100828799,0.1678446128031728,0.6303960949814409,0.4254334672293689,0.3331672344536532
2016-05-11,"2,064.46","2,083.29","2,083.29","2,064.46",-0.96%,0.762902323689429,0.5032796054304164,0.5811257436314639,0.5032796054304164,0.0850663548075456,0.4871307265978542
2016-05-12,"2,064.11","2,067.17","2,073.99","2,053.13",-0.02%,0.1254893984847714,0.6183454517720038,0.3414857375298723,0.5032796054304164,0.568363248080541,0.431392688259521
2016-05-13,"2,046.61","2,062.50","2,066.79","2,043.13",-0.85%,0.697411908272741,0.2699954238063761,0.5032796054304164,0.46402603345706,0.2124879239334926,0.4294401789800172
2016-05-16,"2,066.66","2,046.53","2,071.88","2,046.53",0.98%,0.5032796054304164,0.5032796054304164,0.5032796054304164,0.3091473025880917,0.5295164488737478,0.4697005135506177
2016-05-17,"2,047.21","2,065.04","2,065.69","2,040.82",-0.94%,0.5032796054304164,0.8271215742106066,0.5425331774037728,0.0875578380027456,0.83871459805766,0.5598413586210402
2016-05-18,"2,047.63","2,044.38","2,060.61","2,034.49",0.02%,0.2793511974373315,0.2793511974373315,0.2436568871714038,0.5032796054304164,0.5032796054304164,0.3617836985813799
2016-05-19,"2,040.04","2,044.21","2,044.21","2,025.91",-0.37%,0.330401179641023,0.055473636040067,0.0324401281334214,0.2608938831545228,0.6761580312198098,0.2710733716377688
2016-05-20,"2,052.32","2,041.88","2,058.35","2,041.88",0.60%,0.5032796054304164,0.1734885849392383,0.5032796054304164,0.5295164488737478,0.0782020643717902,0.3575532618091218
2016-05-23,"2,048.04","2,052.23","2,055.58","2,047.26",-0.21%,0.0227284283317231,0.2357756648192402,0.2521482686734123,0.0166268368332739,0.5032796054304164,0.2061117608176132
2016-05-24,"2,076.06","2,052.65","2,079.67","2,052.65",1.37%,0.219860680327452,0.5425331774037728,0.076066507347333,0.5032796054304164,0.5032796054304164,0.3690039151878781
2016-05-25,"2,090.54","2,078.93","2,094.73","2,078.93",0.70%,0.5032796054304164,0.1472008949000863,0.288961204047389,0.2124879239334926,0.4466364976864798,0.3197132251995728
2016-05-26,"2,090.10","2,091.44","2,094.30","2,087.08",-0.02%,0.5032796054304164,0.1295062795545837,0.6869375095337367,0.4381959627802918,0.5032796054304164,0.452239792545889
2016-05-27,"2,099.06","2,090.06","2,099.06","2,090.06",0.43%,0.7790206945644989,0.330401179641023,0.0156607515126862,0.5811257436314639,0.0804393145878882,0.357329536787512
2016-05-31,"2,096.96","2,100.13","2,103.48","2,088.66",-0.10%,0.7866985305333807,0.568363248080541,0.2275385162963339,0.288961204047389,0.5032796054304164,0.4749682208776121
2016-06-01,"2,099.33","2,093.94","2,100.97","2,085.10",0.11%,0.1216250572024202,0.1424721614887882,0.5032796054304164,0.3354858392230639,0.2699954238063761,0.2745716174302129
2016-06-02,"2,105.26","2,097.71","2,105.26","2,088.59",0.28%,0.5032796054304164,0.6295825494483144,0.6303960949814409,0.5032796054304164,0.0456093964509075,0.4624294503482991
2016-06-03,"2,099.13","2,104.07","2,104.07","2,085.36",-0.29%,0.1472008949000863,0.6869375095337367,0.2354705852443178,0.2275385162963339,0.1985051100828799,0.2991305232114709
2016-06-06,"2,109.41","2,100.83","2,113.36","2,100.83",0.49%,0.5032796054304164,0.1918950526262265,0.0415416687852747,0.054100777952916,0.2521482686734123,0.2085930746936491
2016-06-07,"2,112.13","2,110.18","2,119.22","2,110.18",0.13%,0.1520313215030253,0.330401179641023,0.7365637870544567,0.2699954238063761,0.1295062795545837,0.323699598311893
2016-06-08,"2,119.12","2,112.71","2,120.55","2,112.71",0.33%,0.4254334672293689,0.5163980271520822,0.070117455636345,0.6303960949814409,0.94666192098439,0.5178013931967254
2016-06-09,"2,115.48","2,115.65","2,117.64","2,107.73",-0.17%,0.1216250572024202,0.5032796054304164,0.4128235114659073,0.5032796054304164,0.5032796054304164,0.4088574769919154
2016-06-10,"2,096.07","2,109.57","2,109.57","2,089.96",-0.92%,0.6537855290588295,0.5032796054304164,0.1075405501601667,0.1043880612193013,0.6183454517720038,0.3974678395281435
2016-06-13,"2,079.06","2,091.75","2,098.12","2,078.46",-0.81%,0.0901001677937661,0.5032796054304164,0.4381959627802918,0.070117455636345,0.7076320740326435,0.3618650531346926
2016-06-14,"2,075.32","2,076.65","2,081.30","2,064.10",-0.18%,0.5032796054304164,0.8011898103421975,0.1678446128031728,0.1012864188742563,0.1678446128031728,0.3482890120506431
2016-06-15,"2,071.50","2,077.60","2,085.65","2,069.80",-0.18%,0.5032796054304164,0.2800122031829968,0.6183454517720038,0.4004169420857273,0.5032796054304164,0.4610667615803122
2016-06-16,"2,077.99","2,066.36","2,079.62","2,050.37",0.31%,0.0664565007372756,0.7710886256165149,0.0246605989728986,0.3527736818020033,0.5032796054304164,0.3436518025118218
2016-06-17,"2,071.22","2,078.20","2,078.20","2,062.84",-0.33%,0.0901001677937661,0.0954899069507295,0.5032796054304164,0.1472008949000863,0.2521482686734123,0.2176437687496821
2016-06-20,"2,083.25","2,075.58","2,100.66","2,075.58",0.58%,0.5032796054304164,0.6061422687751055,0.7544109421874206,0.0598972898764427,0.1075405501601667,0.4062541312859103
2016-06-21,"2,088.90","2,085.19","2,093.66","2,083.02",0.27%,0.330401179641023,0.330401179641023,0.0291350994050947,0.4381959627802918,0.2989271368281893,0.2854121116591243
2016-06-22,"2,085.45","2,089.75","2,099.71","2,084.36",-0.17%,0.288961204047389,0.0339146794122132,0.5032796054304164,0.219860680327452,0.5032796054304164,0.3098591549295774
2016-06-23,"2,113.32","2,092.80","2,113.32","2,092.80",1.34%,0.697411908272741,0.2591142523008084,0.2436568871714038,0.330401179641023,0.474195352621142,0.4009559160014236
2016-06-24,"2,037.41","2,103.81","2,103.81","2,032.57",-3.59%,0.330401179641023,0.4770427619870849,0.5032796054304164,0.4770427619870849,0.5032796054304164,0.4582091828952051
2016-06-27,"2,000.54","2,031.45","2,031.45","1,991.68",-1.81%,0.3882137590888289,0.6421925052117761,0.1794376366502262,0.4510601515228555,0.8271215742106066,0.4976051253368586
2016-06-28,"2,036.09","2,006.67","2,036.09","2,006.67",1.78%,0.9261198962729444,0.2699954238063761,0.7544109421874206,0.6650734733309605,0.1108964254843137,0.5452992322164031
2016-06-29,"2,070.77","2,042.69","2,073.13","2,042.69",1.70%,0.5032796054304164,0.1571159810850663,0.899018660700666,0.2564702293181471,0.2793511974373315,0.4190471347943255
2016-06-30,"2,098.86","2,073.17","2,098.94","2,070.00",1.36%,0.5032796054304164,0.2927238521380992,0.7076320740326435,0.049016118370875,0.1918950526262265,0.3489093405196521
2016-07-01,"2,102.95","2,099.34","2,108.71","2,097.90",0.19%,0.219860680327452,0.4770427619870849,0.7940712869273401,0.0630497788173081,0.3527736818020033,0.3813596379722377
